"","X2.Hacid_dh","AAA_15","AAA_21","AA_kinase","ABC.3","ACR_tran","AI.2E_transport","AMP.binding","ATP.synt_C","ATP.synt_D","ATP.synt_ab","ATP.synt_ab_Xtn","ATP12","AbiEii_WP_051188422.1","ActD","Acyl_transf_1","Adeno_E1B_55K","Adeno_IVa2","AhpC.TSA","Amidohydro_3","Aminotran_1_2","Aminotran_3","ApoM","AraC_N","BBP2_2","BNR_2","BNR_4","BON","Bac_DNA_binding","Bac_globin","Bacteriocin_IIc","Bap31_Bap29_C","BcrAD_BadFG","Biopterin_H","BrxHI_00001","BrxL_00002","BrxP_00001","C19_cas11b","CARF3..CARF_MK_CARF_00011742","CARF3..CARF_MK_CARF_01000494","CARF3..CARF_TM_CARF3..CARF_TM","CARF_TM_CARF_TM","CDP.OH_P_transf","CHU_C","CNNM","CN_hydrolase","COG1468","COG4804","C_GCAxxG_C_C","Carboxyl_trans","Cas12a_var","Cas1_IIIb_Cas1_IIIb","Cas2_IIIb_Cas2_IIIb","Castor_Poll_mid","Chromate_transp","Citrate_ly_lig","Coatomer_E","CobD_Cbib","Cob_adeno_trans","Cthe_2159","Cys_Met_Meta_PP","Cytochrom_c3_2","Cytochrome.c551","DDE_Tnp_1_3","DDE_Tnp_IS1595","DNA_binding_1","DNA_ligase_aden","DUF1420","DUF1599","DUF1689","DUF1902","DUF2023","DUF2027","DUF2148","DUF2268","DUF2589","DUF262","DUF2764","DUF2794","DUF3127","DUF3138","DUF3825","DUF3999","DUF4156","DUF4223","DUF4248","DUF4251","DUF4254","DUF4301","DUF4362","DUF4381","DUF4442","DUF4469","DUF447","DUF4738","DUF4792","DUF481","DUF4843","DUF4870","DUF488","DUF4918","DUF4953","DUF4954","DUF4969","DUF4992","DUF4999","DUF5016","DUF5053","DUF5103","DUF5529","DUF554","DUF562","DUF5660","DUF5667","DUF5668","DUF5686","DUF5726","DUF5902","DUF5909","DUF6002","DUF6089","DUF6090","DUF6225","DUF6242","DUF6326","DUF6383","DUF6500","DUF6624","DUF6712","DUF6715","DUF6716","DUF6722","DUF6759","DUF6770","DeoC","DndA_00001","DpdA_00004","DpdC_00009","DpdF_00007","DsbD","E1E2_00023","ECSCR","EPSP_synthase","Effector_00033","Effector_00058","Enolase_C","EpsG","Esterase","Exo_endo_phos_3","FAD_SOX","FAD_binding_9","FBXL18_LRR","FGAR.AT_N","FGGY_N","FGase","FKBP_N","FMN_bind","FRB_dom","FTCD_C","FTCD_N","FYDLN_acid","Fasciclin","Fe.ADH","FeoB_N","Fib_succ_major","Fimbrial_PilY2","Fish20602","Flavi_NS2B","FolB","GATase_3","GGACT","GNT.I","GRP","GSHPx","GTP_cyclohydroI","GajB_00018","GajB_00028","Gemini_V2","Glucokinase","Glyco_tranf_2_3","Glyco_transf_21","Glyco_transf_9","Glycogen_syn","Glyoxalase_3","Gp.FAR.1","Gp58","HAD_2","HATPase_c_5","HMA_2","HOATZ.like","HOIP.UBA","HTH_18","HTS","HU.CCDC81_euk_2","HU.HIG","HgmA_N","HlyD_2","HlyIII","Hydrolase","IMPDH","IMPa_helical","IPPT","IetA_00002","Imm41","Intu_longin_3","JAB_00022","JetC2_00003","JetC3_00005","KaiA","KilA.N","Kinocilin","LMWPc","LNT_N","LUD_dom","LmuB1_00001","LmuB1_00006","LptF_LptG","Lyase_1","Lyase_aromatic","MAR_sialic_bdg","MCCD1","MM_CoA_mutase","MORN_2","MTase_II_00139","MacB_PCD","Mal_decarbox_Al","Malic_M","Metallophos_3","Mgm101p","Molybdopterin","MqsR_toxin","MtrB_PioB","MurB_C","NADHdh_A3","NAD_kinase_C","NAD_synthase","NAGPA","NDNF","NDNF_C","NEase_II_00007","NMN_transporter","NNMT_PNMT_TEMT","NQR2_RnfD_RnfE","NQRA","NTF.like","Nab2p_Zf1","Ndr","NrfD","OEP","OMP_b.brl_3","OTCace","OTCace_N","Omp85_2","OmpH","OprF","PASTA","PCMD","PCRF","PDEase_II","PKD_2","PNP_UDP_1","POTRA","PPK2","PRiA4_ORF3","PSP1","PSRP.3_Ycf65","PTPS","PUNUT","ParB_C","PbeC_00001","PbeC_00031","PdxJ","Pectate_lyase22","Pectate_lyase_3","Peptidase_C10","Peptidase_C2","Peptidase_C3G","Peptidase_M13_N","Peptidase_M20","Peptidase_M43","Peptidase_M48","Peptidase_S11","Peptidase_S41","Peptidase_S49","Peroxin.3","PetM","PglX_00016","PglZ_00017","Phage_T4_gp36","Phage_holin_4_1","Phage_portal","Phosphorylase","Porin_10","Pox_L5","Pox_RNA_pol","Prenyltransf","Proton_antipo_M","PseudoU_synth_2","PtuA1_00010","PtuA1_00017","PtuB1_00037","PtuB1_00040","Pup","Put_Phosphatase","Pyc_4TM","PyrI","Queuosine_synth","REase_II_00144","RNA12","RNase_E_G","RT","Radical_SAM","Radical_SAM_C","Ras","RecO_C","RelA_AH_RIS","RibD_C","Ribosomal_L21p","Ribosomal_L27","Ribosomal_L9_C","Ribosomal_S18","RmlD_sub_bind","Rnf.Nqr","Rota_VP4_MID","Rotamase_2","RuvC","S4_2","SAP18","SIS","SKN1_KRE6_Sbg1","SLC35F","SSF","SduA_00029","Sigma54_CBD","Sigma70_ECF","Specificity_I_00060","Sporozoite_P67","SspA_00001","Sua5_yciO_yrdC","SusD.like","TGT_C1","TIM","TIP49_C","TRIC","T_hemolysin","TatC","TauE","TcA_RBD","Tegument_dsDNA","TerC","Terminase_3","Thioredoxin","Thymidylat_synt","TnpB_IS66","TolA","Toluene_X","TonB_C","Transcript_VP30","Tsi6","UDPG_MGDP_dh","UME","UPF0542","Ubiq_cyt_C_chap","Uma2","V_ATPase_I","Vault_2","Y1_Tnp","YbjQ_1","YceG","ZapA","Zip","ZorB1_00002","cas1_PREFRAN","cas3_core","cas5_csm4","cd09641","cd09647","cd09655","cd09725","cls000047","cluster10","dTDP_sugar_isom","drt.cluster302","drt.cluster433","drt.cluster999","icity0045","mkCas0071","mkCas0115","mkCas0160","mkCas0218","mkCas0219","mkCas0220","mkCas0221","pAgo.associated_WP_088257334.1","pAgo_WP_038562081.1","pVip.lone","padloc_Cas13b","pfam09709","pfam09827","pfam13280","retron_type_VI_hth_cluster2_1","retron_type_X_cluster2273_1","shah_acc_0029","shah_acc_0035","shah_acc_0186","tRNA.synt_2"
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0.3125,0,0.3125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,1,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0625,0.3125,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.6875,0,0,1,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0,0,0,1,0,0,0,0,0,0,0,0.9375,0,0,0.375,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0.5625,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0,0,0,0,0.5625,0,0.875,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0.740740741,0.740740741,0.740740741,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0.925925926,0,0.962962963,0,0.962962963,0,0,0,0,0,0,0.777777778,0,0,0.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.962962963,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"41",0,0.466666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0.733333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333,0,0,0,0,0,0,0,0,0,0,0.533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333,0,0,0,0,0,0,0,0,0,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0,0.333333333,0,0,0.466666667,0,0,0.4,0,0,0,0,0,0,0,0,0.466666667,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,1,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,1.076923077,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0.384615385,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0.307692308,0,0,0.384615385,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0,0.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.307692308,0.307692308,0,0,0,0,0
"43",0,0,0,0,0,0.666666667,0,1.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444444444,0,0,0,0,0,0,0,0,0,0,0,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611111111,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0.388888889,0.722222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722222222,0,0,0,0,0,0.055555556,0,0.722222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722222222,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.388888889,0,0,0,0,0,0,0,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0.444444444,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0.777777778,0,0,0,0,0,0,0.444444444,0,0,0.444444444,0,0,0,0.444444444,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0.444444444,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0.411764706,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0.529411765,0,0,0,0,0.823529412,0,0,0,0.588235294,0,0,0,0,0.411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411764706,0,0,0,0,0,0,0,0,0,0,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647058824,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294,0,0,0,0,0,0.058823529,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0.470588235,0,0,0,0,0,0,0,0,0,0,0.411764706,0,0,0,0,0,0,0,0,0,0,0,0,0.411764706,0,0,0.588235294,0,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235,1.117647059,0,0,0,0,0,0,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0.941176471,0,0,0,0,0.411764706,0,0,0,0,0,0,0,0.352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294,0,0,0,0,0,0,0,0.764705882,0,0.235294118,0,0,0,0,0.647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705882353,0,0,0,0,0.588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0,0,0,0,0,0,0,0.692307692,0.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.846153846,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0.692307692,0,0,0,0,0,0,0,0,0,0,0.923076923,0.923076923,0,0,0,0,0,1.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384615385,0,0.923076923,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0.692307692,0.923076923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"56",0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0
